metric,value
loss,0.4379560703509732
accuracy,0.9637706555818178
precision,0.35599564271565154
recall,0.8031194002559883
f1_score,0.4933194660964027
iou,0.32742141084034676
dice,0.4933194660964027
threshold,0.5
num_samples,760
total_pixels,12451840
landslide_pixels,273450
non_landslide_pixels,12178390
percentage_landslide_pixels,2.1960609837582235
tp,219613
fp,397285
fn,53837
tn,11781105
checkpoint_size_bytes,69152735
device,cpu
evaluation_time_seconds,102.07732701301575
average_inference_time_seconds,0.12486731504139147
