image_id,baseline_tp,baseline_fp,baseline_fn,baseline_iou,experiment2_tp,experiment2_fp,experiment2_fn,experiment2_iou
image_1561.h5,0,0,6,0.0000,0,0,6,0.0000
image_3557.h5,73,14,652,0.0988,142,42,583,0.1851
image_241.h5,2384,798,136,0.7185,2218,250,302,0.8007
image_1851.h5,151,287,17,0.3319,119,195,49,0.3278
image_1554.h5,0,0,0,1.0000,0,0,0,1.0000
image_854.h5,45,312,4,0.1247,41,45,8,0.4362
image_1296.h5,51,165,1,0.2350,25,25,27,0.3247
image_2990.h5,0,0,0,1.0000,0,0,0,1.0000
image_2177.h5,35,69,135,0.1464,38,66,132,0.1610
image_2236.h5,0,41,0,0.0000,0,2,0,0.0000
